Tweet ID,URL,Content,Likes,Retweets,Replies,Quotes,Views,Date
1638293315635367937,https://x.com/sammymagga/status/1638293315635367937,@safaricom you should fire all Azimio employees in your company,0,0,0,0,13,"March 21, 2023 at 09:35 PM"
1638255615855194130,https://x.com/alex_waweru/status/1638255615855194130,"@citizentvkenya Even @RailaOdinga himself can't do without @safaricom ,Azimio 🤣🤣🤣🤣",0,0,0,0,51,"March 21, 2023 at 07:05 PM"
1638227198074056704,https://x.com/verse_muriithi/status/1638227198074056704,"Curious to know how @Safaricom, @Kcb and @ the star are affecting our Economy and Railas victory?",0,0,0,0,33,"March 21, 2023 at 05:12 PM"
1638215660260950017,https://x.com/sonofdifada/status/1638215660260950017,Watching @K24Tv  tomorrow am buying the star magazine and am browsing using @Safaricom  and i have a @KCBGroup  account.God bless Kenya #boycott https://t.co/e2tpMsk5sZ,1,0,0,0,134,"March 21, 2023 at 04:27 PM"
1638191399601332224,https://x.com/kimandi/status/1638191399601332224,@safaricom confirm Raila is no longer using his safaricom line #Azimio,0,0,0,0,39,"March 21, 2023 at 02:50 PM"
1638190791838367744,https://x.com/josephmutuli1/status/1638190791838367744,Dear @AIRTEL_KE since am a true loyal soldier to @RailaOdinga and he has asked me to boycott @Safaricom products kindly can you provide me with airtel line with immediately.,0,0,0,0,167,"March 21, 2023 at 02:48 PM"
1638184947759345664,https://x.com/mulingepaul2/status/1638184947759345664,"@safaricom why have joined oppressive regime to pin kenyans down as Raila claims. You have been on the spot more than twice, we urge you to be the caring partiner you claim",0,0,0,0,45,"March 21, 2023 at 02:25 PM"
1638165333696454656,https://x.com/ikariiah/status/1638165333696454656,"#HABARI: Raila Odinga atoa rai kwa wafuasi wake kuepukana na @Safaricom, Benki ya @KCBGroup na gazeti la @TheStarKenya",0,0,0,0,33,"March 21, 2023 at 01:07 PM"
1637761899269087232,https://x.com/MbithiNzyoka/status/1637761899269087232,@safaricom Professional Fee for Services?,0,0,0,0,23,"March 20, 2023 at 10:23 AM"
1636671350965166082,https://x.com/Kamtu_Ka_Chai/status/1636671350965166082,"@safaricom

Can somebody terminate their numbers without going offline and waiting for you guys to recycle?

Is there way to ""delete account"" but for safaricom numbers?",0,0,0,0,15,"March 17, 2023 at 10:10 AM"
